,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
z,0.5552157426806842,0.025989242680088346,0.5140579227241441,0.5982394300738111,1054.7971203103436,1008.2644168406225,0.9993218362064096,0.0007984765046296795,0.0005641052437867671
a_C(alpha)[0.0],0.35152710559784234,0.04578502507853779,0.2768916326426337,0.4235366532442271,1422.6793416509129,819.7323559470441,1.0030372956598321,0.001216925297540552,0.0008616823746779956
a_C(alpha)[1.0],0.32025705420723144,0.04493185123274136,0.24804388889193363,0.39311679424841184,1494.4522726961613,935.0882952594708,1.0054536218165564,0.0011619960090508048,0.0008555901274416389
t,0.0962704225613034,0.009219898928955856,0.07903281027667393,0.10459094979676022,1541.660957165675,655.2843917029797,0.9998063576123682,0.00024297026452195654,0.0003864292099750202
v_C(alpha)[0.0],0.11000159844027337,0.08605700179694316,-0.028696213469878037,0.24817343354746632,1395.2000764169836,1046.3591981950137,0.9995273525967853,0.0023002658039463645,0.0015185902673037683
v_C(alpha)[1.0],0.09592112894868574,0.08935817762321899,-0.04095366146928859,0.2408866668730793,1160.9398193101663,1003.4952577264067,0.9999818332819079,0.0026263039676466256,0.0018321170935643517
