,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
a_C(alpha)[0.0],0.3498552729688273,0.04716684232588791,0.2745295588332739,0.42307827042354207,1705.23890646196,791.0044314856432,1.00129346336665,0.0011484722862343214,0.0008071300832807939
a_C(alpha)[1.0],0.36060785664481104,0.044632501866598714,0.2903619247171992,0.4301873438429993,1467.6463563766633,974.295028048534,0.9991843805551177,0.0011594540282170692,0.0007975164389087842
v_C(alpha)[0.0],0.11762301089636477,0.08523639831188945,-0.023815538702035528,0.2542143631402684,1177.6908727744387,960.5213968706475,1.000236032540252,0.002463645997151969,0.00160284208788183
v_C(alpha)[1.0],0.06769631855255262,0.08329334473971264,-0.06670997083899213,0.19761834249202412,1205.1398110924927,753.7978014267338,1.0079818514967998,0.0024235668349647855,0.0016117660499529083
t,0.09621429056103602,0.008905834253109092,0.07887523097523405,0.10454400229611766,863.6034453916013,512.7578398894723,0.9991605564886886,0.0002314491632722754,0.00037249539808035327
z,0.5490560356340578,0.027298792467118825,0.5047609010785182,0.5920004429918646,1211.02022139503,1070.7003534540147,0.9996783483602759,0.0007897023014499541,0.0005137307706018518
