,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
v_C(alpha)[0.0],0.32094654828659186,0.09781169007363563,0.16827175964078314,0.47886275355971447,1778.1523433504015,1114.117521056077,1.0004495752177924,0.0023216683161503375,0.0016434473699305455
v_C(alpha)[1.0],0.03897081899958947,0.10179208983219107,-0.11762459264201083,0.20930028717551952,1840.6041128049203,1314.2235795125666,1.0004036429678556,0.0023677750173610643,0.0016198217531344752
t,0.09406203779409886,0.010508184617213995,0.07409404478593208,0.10421835438424172,1630.589766663585,779.2470893746935,1.0026670534940256,0.00024408139372742748,0.0003094062937248083
z,0.5112632769021893,0.03212114068222028,0.4598203734454979,0.5636345699596218,1702.0818229872177,1154.640326217517,1.0051222047229624,0.0007789423687402631,0.0005342612196623672
a_C(alpha)[0.0],0.31535336324591173,0.0519821288968977,0.2358853743638049,0.39641315911605135,2213.9897530197745,996.8602093402703,1.0087531023866467,0.001112391261039338,0.0008533608541966624
a_C(alpha)[1.0],0.3505505485132957,0.05399453771746685,0.2689166478930918,0.4374303326348659,2444.450130793397,1390.524066639502,0.9995530793927875,0.0010968373457485492,0.0007899310533162063
