,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
z,0.5575892234198513,0.026817823220048054,0.5154151479831031,0.6006656586636548,1285.8440788507444,1108.7286580334128,1.0008384457952666,0.0007501669410247446,0.0005229325100763944
t,0.09594557037712884,0.008946304190652333,0.07844831152323144,0.10448239112736418,1153.6770948955495,513.8390064916855,1.0037064801452353,0.0002257342290281105,0.00028203407520425696
v_C(alpha)[0.0],0.10119443006298733,0.0858023842714814,-0.03622182921814384,0.23984783997316853,1445.4675802122333,1006.7042955341718,1.0016802235389959,0.00226687666393895,0.0015457295885027774
v_C(alpha)[1.0],-0.039365471418400105,0.08539603727602335,-0.17509228604062024,0.09837208398540336,1372.063593825308,1020.9057843222039,1.0019949341873786,0.0023165427917703194,0.0016658790605279996
a_C(alpha)[0.0],0.3529515335539623,0.04610740262943384,0.27707711964759224,0.42637632162417693,1468.0807976027932,859.1636386970835,1.000859324096725,0.0011988523487461368,0.0008387955876114089
a_C(alpha)[1.0],0.3615945752727263,0.04401913430498979,0.29181194657422344,0.43293014862592594,1645.8122474678494,913.3027317390055,0.999431618813197,0.0010872259863385692,0.0007594340325366396
