,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
z,0.545460995466797,0.027445457118542918,0.4997549808578151,0.5885252658742122,994.6769314467203,934.4820239930582,0.9994789006287753,0.0008681036925863057,0.0006194163245311842
t,0.09623409311460171,0.0085466622169914,0.07879408207954182,0.10443159324656637,1356.7032890364508,773.2892222118087,1.0025610115646773,0.0002457324926738496,0.0003019191731039031
v_C(alpha)[0.0],0.12014934484635953,0.08236317654477691,-0.011316182658451501,0.2482878558149099,1057.2169433228705,895.6869527288437,1.0020921415526407,0.0025274052369246174,0.0016746651134334695
v_C(alpha)[1.0],0.0229344977351039,0.08486098962919483,-0.1074621548665243,0.15660465930817188,1054.9336041945423,947.6251825165275,0.9993157672000201,0.002629006115117824,0.0019715488503639403
a_C(alpha)[0.0],0.3478782197673927,0.045817573692299086,0.2754561327907194,0.4229393802867064,1500.3561037939796,1035.1125518750207,1.0020393818819997,0.0011856200965052576,0.0008298029314524628
a_C(alpha)[1.0],0.3718371202389778,0.046062028261243206,0.29841740485819696,0.44308852416416517,1103.135228375093,803.6659089995347,1.0003502525011132,0.0013841021988331794,0.0009513575914796683
