,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
t,0.09582859246842727,0.009155691929541182,0.07871654822654277,0.10437468484484362,1898.3824462694079,977.9876304508733,1.0000350355637668,0.00019771390774337046,0.00027814934956973763
v_C(alpha)[0.0],0.06631758682504162,0.08827167384449937,-0.07128346750728153,0.20423145306867002,1795.8401664049977,1378.6606567394535,0.9991067172557028,0.002082000408252908,0.0015026040543973215
v_C(alpha)[1.0],-0.2701732288116899,0.08352820296929585,-0.4036044021963,-0.1444791173004238,1321.3507433971506,1284.473157501922,1.000688363310984,0.002305725448740741,0.00170586427858955
z,0.5819642870899158,0.028355051204610796,0.5355591256317831,0.6260353932995297,1276.0812962181974,1155.1967407001732,1.0022462433830595,0.0007925316727798849,0.000569974815664804
a_C(alpha)[0.0],0.3616795710297758,0.04866320501111503,0.28690226450915035,0.4387933926124447,1859.1238173941679,957.4993575586224,1.001904940482677,0.0011623245854706565,0.0008894342499516471
a_C(alpha)[1.0],0.4644787119700484,0.04810433099180303,0.38449494735200146,0.5396559336543456,1432.7335385473993,1174.990085636201,1.0007077435156264,0.0012697468938346792,0.0008742180311103898
