,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
t,0.09607306054940566,0.009122440097246701,0.07717356568908752,0.10456882428397245,1230.0005829474535,539.755745576412,0.9997828803591312,0.00024082180311112576,0.0002514788575591817
z,0.5370932279434726,0.03016242251476033,0.4881496949603703,0.5853586787320234,1054.2087281884208,973.1267876092028,0.9989630279234759,0.0009276116540885281,0.0006267705603618723
v_C(alpha)[0.0],0.13138075048359799,0.09180545950667097,-0.019838111043383906,0.27188455983866333,1147.0809294458145,812.378030664668,0.9997818255581722,0.0026942300609371036,0.0018528923476506698
v_C(alpha)[1.0],0.13688960879240522,0.09117262011711241,-0.009094125835750425,0.28415958182525336,1247.3236580985365,922.7513319457241,0.9990637428876131,0.0025739181868186293,0.0017173870698970616
a_C(alpha)[0.0],0.34597672548736996,0.04465525220486122,0.2767347935318617,0.41694150310506173,1532.4588470331337,926.5594962233336,1.003507833749439,0.001140773965902788,0.0007856141576082707
a_C(alpha)[1.0],0.3508304571361348,0.046542906252280976,0.27618628812451956,0.4261123745840663,1768.5468954917267,856.9418892476805,1.000116824133585,0.0011050053963292535,0.0007537305568297576
