pid,alpha,correct,words,rt,response,near_ceiling
math-1010,1.0,1,849,0.849,1,0
math-682,1.0,1,778,0.778,1,0
math-499,1.0,1,1619,1.619,1,0
math-666,1.0,0,1871,1.871,-1,0
math-128,1.0,0,2323,2.323,-1,0
math-391,1.0,0,2393,2.393,-1,0
math-1162,1.0,1,683,0.683,1,0
math-454,1.0,1,2741,2.741,1,1
math-488,1.0,0,2182,2.182,-1,0
math-291,1.0,1,1412,1.412,1,0
math-1112,1.0,1,1804,1.804,1,0
math-917,1.0,1,2234,2.234,1,0
math-186,1.0,1,728,0.728,1,0
math-164,1.0,1,2125,2.125,1,0
math-655,1.0,0,1926,1.926,-1,0
math-1040,1.0,1,1175,1.175,1,0
math-1002,1.0,1,1473,1.473,1,0
math-223,1.0,1,960,0.96,1,0
math-617,1.0,0,1436,1.436,-1,0
math-1128,1.0,0,2334,2.334,-1,0
math-596,1.0,1,688,0.688,1,0
math-255,1.0,0,1967,1.967,-1,0
math-1121,1.0,1,691,0.691,1,0
math-681,1.0,0,2259,2.259,-1,0
math-1106,1.0,1,884,0.884,1,0
math-416,1.0,0,3229,3.229,-1,1
math-1235,1.0,0,2886,2.886,-1,1
math-1120,1.0,0,1351,1.351,-1,0
math-1203,1.0,1,1604,1.604,1,0
math-589,1.0,0,2105,2.105,-1,0
math-911,1.0,1,1287,1.287,1,0
math-187,1.0,1,1560,1.56,1,0
math-1221,1.0,0,2312,2.312,-1,0
math-649,1.0,0,2124,2.124,-1,0
math-1178,1.0,0,2340,2.34,-1,0
math-495,1.0,1,2826,2.826,1,1
math-594,1.0,1,1738,1.738,1,0
math-376,1.0,1,1523,1.523,1,0
math-387,1.0,1,2258,2.258,1,0
math-382,1.0,0,2796,2.796,-1,1
math-67,1.0,1,2770,2.77,1,1
math-1254,1.0,0,2045,2.045,-1,0
math-532,1.0,0,2421,2.421,-1,1
math-975,1.0,1,1084,1.084,1,0
math-141,1.0,1,967,0.967,1,0
math-183,1.0,0,2200,2.2,-1,0
math-266,1.0,1,1479,1.479,1,0
math-306,1.0,1,925,0.925,1,0
math-79,1.0,1,1677,1.677,1,0
math-1107,1.0,1,1554,1.554,1,0
math-801,1.0,1,2054,2.054,1,0
math-1074,1.0,1,1359,1.359,1,0
math-564,1.0,0,2440,2.44,-1,1
