alpha,a_mean,a_lo,a_hi,v_mean,v_lo,v_hi
0.0,0.8274770346390375,0.7884484142817839,0.8644114837263276,-0.7460096542514812,-0.8913791373419426,-0.5933708377836734
0.25,0.958349350791222,0.918122842028338,1.0001787967005822,-0.6368324793992653,-0.7575278029193336,-0.5219196405960461
0.5,1.0106782167460313,0.9702402562331244,1.0543726877846327,-0.42779797111886825,-0.5398219320151241,-0.3202885526065204
0.678,1.1381091850715805,1.0900717229589354,1.183153802154685,-0.41479748326266636,-0.5078642927036421,-0.31316837398735436
1.0,1.150187163963295,1.1046543235763284,1.1949560204732366,-0.314258791365247,-0.4054022265995504,-0.21962333909243917
1.693,5.263763540618657,4.804539891139827,5.742122073143021,-2.6662149970657194,-2.9058255936763056,-2.4203623737658804
