,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
z,0.5437019474844635,0.027904929312281994,0.4980242284556989,0.5873332005197438,900.7363209721001,936.6181769264754,1.00098561304166,0.0009321293052225495,0.0006443988811577937
a_C(alpha)[0.0],0.34724827621215215,0.04602292049193658,0.27158903529996914,0.4164553173374143,1323.5367651199397,871.5955232009962,1.0011577812891002,0.0012628305854486162,0.0009444930432834812
a_C(alpha)[1.0],0.37459443505860884,0.04650056064311119,0.3001116963176155,0.4528118502691945,1314.572140172937,766.0232981166859,1.0029083533649947,0.001286735600559342,0.000926599808314663
t,0.09602947628970343,0.008733746201387334,0.07899737310545588,0.10439681478574192,1331.1431728414232,593.3083274460166,1.0018557659254854,0.00021272790858578998,0.0002588951162139949
v_C(alpha)[0.0],0.1253004477312565,0.08532124467557187,-0.0009286155075546866,0.2550704861944331,1047.923245621406,869.3047244925532,0.9991744924905285,0.002637378853060731,0.0019904779311882503
v_C(alpha)[1.0],-0.0023405126273998112,0.08484518178059677,-0.14301607864807184,0.1311293504847132,928.7655304346335,949.8726336379807,1.0006295638944578,0.0027986051950756956,0.0019517766297515529
